,,,,,,,
Column 1,Southwest Airlines,American Airlines,Delta Air Lines,United Airlines,JetBlue Airways,Spirit Airlines,Alaska Air
Nov_2024,46,17,43,7,-13,-56,31
Dec_2024,48,17,43,6,-11,-56,31
Jan_2025,48,15,43,6,-11,-56,33
Feb_2025,48,15,43,6,-11,-56,32
Mar_2025,46,14,43,6,-11,-55,34
Apr_2025,48,14,43,6,-11,-55,34
May_2025,48,14,43,6,-11,-55,34
Jun_2025,48,14,43,5,-11,-55,34
Jul_2025,48,14,43,5,-11,-55,35
Aug_2025,48,14,43,5,-11,-55,35
Sep_2025,48,14,41,5,-11,-55,35
Oct_2025,48,12,43,5,-11,-55,35
