Airline,1Q,2Q,3Q,4Q,2022
Alaska,"64,370","88,321","92,981","80,917","326,589"
Allegiant,"73,649","93,183","83,634","80,586","331,052"
American,"314,803","383,113","351,356","348,944","1,398,216"
Breeze,"1,835","2,846","3,278","5,318","13,277"
Delta,"226,849","265,558","252,159","234,831","979,397"
Eastern,147,67,42,26,282
Frontier,"131,479","187,737","201,770","222,968","743,953"
Hawaiian,"18,489","24,487","23,905","20,312","87,194"
JetBlue,"136,797","165,808","165,925","156,327","624,857"
Silver Airways,"2,037","2,685","2,333","2,672","9,728"
Southwest,"14,858","17,969","17,855","16,315","66,997"
Spirit,"194,287","238,971","238,245","261,715","933,219"
Sun Country,"22,633","20,703","21,039","21,088","85,463"
United,"245,070","294,420","288,856","290,224","1,118,569"
All,"1,447,305","1,785,866","1,743,379","1,742,244","6,718,793"
