Month of Date,Fuel Type,Price (cents per gallon)
July 2023,Jet Fuel,$248.80
June 2023,Jet Fuel,$225.00
May 2023,Jet Fuel,$217.30
April 2023,Jet Fuel,$237.40
March 2023,Jet Fuel,$267.90
February 2023,Jet Fuel,$279.00
January 2023,Jet Fuel,$354.20
December 2022,Jet Fuel,$289.70
November 2022,Jet Fuel,$316.00
October 2022,Jet Fuel,$371.50
September 2022,Jet Fuel,$326.20
August 2022,Jet Fuel,$333.90
July 2022,Jet Fuel,$347.80
June 2022,Jet Fuel,$412.00
May 2022,Jet Fuel,$390.20
April 2022,Jet Fuel,$391.40
March 2022,Jet Fuel,$349.50
February 2022,Jet Fuel,$268.20
January 2022,Jet Fuel,$244.60
December 2021,Jet Fuel,$209.50
November 2021,Jet Fuel,$219.30
October 2021,Jet Fuel,$229.60
September 2021,Jet Fuel,$200.30
August 2021,Jet Fuel,$181.70
July 2021,Jet Fuel,$188.70
June 2021,Jet Fuel,$185.70
May 2021,Jet Fuel,$175.20
April 2021,Jet Fuel,$166.90
March 2021,Jet Fuel,$166.10
February 2021,Jet Fuel,$160.10
January 2021,Jet Fuel,$142.00
December 2020,Jet Fuel,$132.40
November 2020,Jet Fuel,$113.30
October 2020,Jet Fuel,$104.70
September 2020,Jet Fuel,$100.60
August 2020,Jet Fuel,$111.20
July 2020,Jet Fuel,$108.40
June 2020,Jet Fuel,$98.30
May 2020,Jet Fuel,$68.60
April 2020,Jet Fuel,$60.60
March 2020,Jet Fuel,$95.30
February 2020,Jet Fuel,$150.90
January 2020,Jet Fuel,$177.00
December 2019,Jet Fuel,$189.30
November 2019,Jet Fuel,$182.40
October 2019,Jet Fuel,$186.10
September 2019,Jet Fuel,$187.40
August 2019,Jet Fuel,$180.00
July 2019,Jet Fuel,$191.30
June 2019,Jet Fuel,$181.70
May 2019,Jet Fuel,$197.20
April 2019,Jet Fuel,$197.70
March 2019,Jet Fuel,$190.20
February 2019,Jet Fuel,$191.40
January 2019,Jet Fuel,$178.40
December 2018,Jet Fuel,$169.60
November 2018,Jet Fuel,$194.50
October 2018,Jet Fuel,$224.90
September 2018,Jet Fuel,$218.90
August 2018,Jet Fuel,$211.80
July 2018,Jet Fuel,$209.80
June 2018,Jet Fuel,$209.00
May 2018,Jet Fuel,$215.50
April 2018,Jet Fuel,$201.50
March 2018,Jet Fuel,$185.80
February 2018,Jet Fuel,$184.90
January 2018,Jet Fuel,$195.20
December 2017,Jet Fuel,$181.70
November 2017,Jet Fuel,$176.00
October 2017,Jet Fuel,$165.90
September 2017,Jet Fuel,$180.00
August 2017,Jet Fuel,$156.10
July 2017,Jet Fuel,$141.70
June 2017,Jet Fuel,$129.50
May 2017,Jet Fuel,$141.20
April 2017,Jet Fuel,$151.00
March 2017,Jet Fuel,$144.50
February 2017,Jet Fuel,$154.70
January 2017,Jet Fuel,$151.40
December 2016,Jet Fuel,$149.10
November 2016,Jet Fuel,$135.60
October 2016,Jet Fuel,$145.70
September 2016,Jet Fuel,$131.90
August 2016,Jet Fuel,$129.50
July 2016,Jet Fuel,$127.20
June 2016,Jet Fuel,$138.20
May 2016,Jet Fuel,$129.90
April 2016,Jet Fuel,$114.70
March 2016,Jet Fuel,$106.90
February 2016,Jet Fuel,$97.30
January 2016,Jet Fuel,$93.00
December 2015,Jet Fuel,$108.20
November 2015,Jet Fuel,$132.60
October 2015,Jet Fuel,$139.10
September 2015,Jet Fuel,$139.50
August 2015,Jet Fuel,$138.90
July 2015,Jet Fuel,$154.90
June 2015,Jet Fuel,$173.20
May 2015,Jet Fuel,$184.90
April 2015,Jet Fuel,$170.20
March 2015,Jet Fuel,$162.90
February 2015,Jet Fuel,$176.60
January 2015,Jet Fuel,$149.60
December 2014,Jet Fuel,$180.10
November 2014,Jet Fuel,$229.70
October 2014,Jet Fuel,$246.00
September 2014,Jet Fuel,$272.90
August 2014,Jet Fuel,$283.90
July 2014,Jet Fuel,$281.70
June 2014,Jet Fuel,$288.30
