Airline,Quarter,NPS,Revenue_Thou
Alaska,1,52,83934
Alaska,2,51,106033
Alaska,3,53,118372
Alaska,4,54,98236
American,1,25,334743
American,2,24,394435
American,3,26,389782
American,4,27,382369
Delta,1,49,239012
Delta,2,48,289749
Delta,3,50,259227
Delta,4,51,272113
JetBlue,1,50,142559
JetBlue,2,48,158987
JetBlue,3,50,177864
JetBlue,4,52,143084
Southwest,1,51,18990
Southwest,2,50,21769
Southwest,3,52,21364
Southwest,4,53,20956
United,1,42,300800
United,2,40,346431
United,3,45,352933
United,4,46,334933
